crawl 1[0.29 seconds used]: {'url': 'http://info.tibet.cn/newzt/yuanzang/yzcg/200505/t20050531_33920.htm', 'anchor_text': u'\u5bf9\u53e3\u652f\u63f4\u897f\u85cf\u7ecf\u6d4e\u5efa\u8bbe\u7684\u4e30\u7855\u6210\u679c', 'value': 3},  [116 urls left in queue]
crawl 92[0.18 seconds used]: {'url': 'http://e.baidu.com/node/112', 'anchor_text': u'\n   \t\n\t  \u6c88\u9633-\u673a\u68b0\u5236\u9020-\u73af\u5b87\u7535\u70ed\u4f9b\u6c34\u8bbe\u5907\u6709\u9650\u516c\u53f8\n\t  \u73af\u5b87\u7535\u70ed\u4f9b\u6c34\u8bbe\u5907\u6709\u9650\u516c\u53f8\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1432 urls left in queue]
crawl 93[0.26 seconds used]: {'url': 'http://e.baidu.com/node/72', 'anchor_text': u'\n   \t\n\t  \u7c89\u4e1d\u7172\u7206\u7ea2 \u4e92\u8054\u7f51\u601d\u7ef4\u4e0b\u201c\u820c\u5c16\u5708\u5b50\u201d\u7684\u751f\u610f\u7ecf\n\t  2014-09-05 \u5168\u7403IT\u8d44\u8baf\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1431 urls left in queue]
crawl 94[0.25 seconds used]: {'url': 'http://e.baidu.com/node/89', 'anchor_text': u'\n   \t\n\t  \u6e56\u5317-\u751f\u6d3b\u670d\u52a1-\u6b66\u6c49\u76ae\u65b0\u5f69\u76ae\u5177\u6e05\u6d17\n\t  \u6b66\u6c49\u76ae\u65b0\u5f69\u76ae\u5177\u6e05\u6d17\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1430 urls left in queue]
crawl 95[0.26 seconds used]: {'url': 'http://e.baidu.com/node/86', 'anchor_text': u'\n   \t\n\t  \u6cb3\u5317-\u91d1\u5c5e\u52a0\u5de5-\u9e3f\u6e90\u7ba1\u4e1a\n\t  \u9e3f\u6e90\u7ba1\u4e1a\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1429 urls left in queue]
crawl 96[0.22 seconds used]: {'url': 'http://e.baidu.com/node/87', 'anchor_text': u'\n   \t\n\t  \u6cb3\u5317-\u91d1\u5c5e\u52a0\u5de5-\u84dd\u8d5b\u91d1\u5c5e\u4e1d\u7f51\n\t  \u84dd\u8d5b\u91d1\u5c5e\u4e1d\u7f51\t\n    \n\n\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1428 urls left in queue]
crawl 97[0.27 seconds used]: {'url': 'http://e.baidu.com/node/73', 'anchor_text': u'\n   \t\n\t  \u201c\u5783\u573e\u6876\u201d\u751f\u610f\u5982\u4f55\u73a9\u8f6c\u4e92\u8054\u7f51\u201c\u653b\u57ce\u6218\u201d\n\t  2014-08-13 \u4f5c\u8005\uff1a\u4e92\u8054\u7f51 \u51fa\u5904\uff1a \u4e92\u8054\u7f51 \u8d23\u7f16\uff1a\u59dc\u6676\u6676\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1428 urls left in queue]
crawl 98[0.15 seconds used]: {'url': 'http://e.baidu.com/node/76', 'anchor_text': u'\u201c\u5356\u82b1\u59d1\u5a18\u201d\u53d8\u8eab\u5343\u4e07\u5bcc\u59d0\u201c\u4e03\u5f69\u9c9c\u82b1\u201d...', 'value': 0},  [1427 urls left in queue]
crawl 99[0.15 seconds used]: {'url': 'http://e.baidu.com/node/74', 'anchor_text': u'\n   \t\n\t  \u820c\u5c16\u4e0a\u7684\u4e92\u8054\u7f51\uff1a\u4e0d\u4f1a\u7528\u7f51\u7edc\u8425\u9500\u7684\u53a8\u5b50\u4e0d\u662f\u597d\u8001\u677f\n\t  \t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1426 urls left in queue]
crawl 100[0.15 seconds used]: {'url': 'http://e.baidu.com/node/95', 'anchor_text': u'\n   \t\n\t  \u6c5f\u82cf-\u91d1\u5c5e\u52a0\u5de5-\u65e0\u9521\u5b8f\u78ca\u94a2\u683c\u677f\n\t  \u65e0\u9521\u5b8f\u78ca\u94a2\u683c\u677f\t\n    \n\n\n\n \u7f51\u76df\u63a8\u5e7f\n\n \u54c1\u724c\u63a8\u5e7f\n', 'value': 0},  [1425 urls left in queue]
crawl 101[0.15 seconds used]: {'url': 'http://e.baidu.com/node/96', 'anchor_text': u'\n   \t\n\t  \u6c5f\u82cf-\u751f\u6d3b\u670d\u52a1-\u91d1\u6865\u56fd\u9645\u65c5\u884c\u793e\u6709\u9650\u516c\u53f8\n\t  \u91d1\u6865\u56fd\u9645\u65c5\u884c\u793e\u6709\u9650\u516c\u53f8\t\n    \n\n\n\n \u793e\u533a\u8425\u9500\n\n \u589e\u6548\u5de5\u5177\n', 'value': 0},  [1425 urls left in queue]
crawl 102[0.15 seconds used]: {'url': 'http://e.baidu.com/node/69', 'anchor_text': u'\u5730\u4e0b600\u7c73\uff01\u8ba9\u76d7\u5893\u7b14\u8bb0\u6c57\u989c\u7684\u6316\u6398\u8005', 'value': 0},  [1424 urls left in queue]
crawl 103[0.15 seconds used]: {'url': 'http://e.baidu.com/node/71', 'anchor_text': u'\n   \t\n\t  \u8d3a\u5e74\u751f\uff1a\u6211\u4e0d\u662f\u891a\u65f6\u5065 \u4f46\u6211\u8ba9\u6574\u4e2a\u6751\u5b50\u201c\u725b\u201d\u6c14\u51b2\u5929\n\t  2014-11-03 \u4e92\u8054\u7f51\u5934\u6761\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1423 urls left in queue]
crawl 104[0.16 seconds used]: {'url': 'http://e.baidu.com/node/82', 'anchor_text': u'\n   \t\n\t  \u5317\u4eac-\u751f\u6d3b\u670d\u52a1-\u827a\u9f99\u7f51\n\t  \u827a\u9f99\u7f51\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1422 urls left in queue]
crawl 105[0.15 seconds used]: {'url': 'http://e.baidu.com/node/67', 'anchor_text': u'\n   \t\n\t  \u5730\u94c1\u6da8\u4ef7\u4e86\uff0c\u9500\u552e\u53ea\u80fd\u5c0f\u8dd1\u4e86\uff1f\n\t  \t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1421 urls left in queue]
crawl 106[0.15 seconds used]: {'url': 'http://e.baidu.com/node/64', 'anchor_text': u'\n   \t\n\t  \u5317\u4eac-\u65c5\u6e38-\u9e3f\u9014\u56fd\u9645\u65c5\u884c\u793e\n\t  \u9e3f\u9014\u56fd\u9645\u65c5\u884c\u793e\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1420 urls left in queue]
crawl 107[0.15 seconds used]: {'url': 'http://e.baidu.com/node/79', 'anchor_text': u'\n   \t\n\t  2014\uff0c\u201c\u9047\u89c1\u201d \u90a3\u6b21\u65e0\u5173\u98ce\u666f\u7684\u65c5\u884c\n\t  2014-12-26 \u4e00\u53e5\u8bdd\u5fc3\u8bed\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1419 urls left in queue]
crawl 108[0.15 seconds used]: {'url': 'http://e.baidu.com/node/98', 'anchor_text': u'\n   \t\n\t  \u8fbd\u5b81-\u751f\u6d3b\u670d\u52a1-\u6c88\u9633\u5efa\u8363\u7687\u5bb6\u6d77\u6d0b\u79d1\u666e\u4e16\u754c(\u6c88\u9633)\u6709\u9650\u516c\u53f8\n\t  \u6c88\u9633\u5efa\u8363\u7687\u5bb6\u6d77\u6d0b\u79d1\u666e\u4e16\u754c(\u6c88\u9633)\u6709\u9650\u516c\u53f8\n\t\n    \n\n\n\n \u79fb\u52a8\u63a8\u5e7f\n\n  \u54c1\u724c\u63a8\u5e7f\n', 'value': 0},  [1419 urls left in queue]
crawl 109[0.15 seconds used]: {'url': 'http://e.baidu.com/node/80', 'anchor_text': u'\u5317\u4eac-\u5546\u52a1\u670d\u52a1-\u4e16\u8054\u535a\u4f17\u7ffb\u8bd1\u6709\u9650\u516c\u53f8', 'value': 0},  [1418 urls left in queue]
crawl 110[0.15 seconds used]: {'url': 'http://e.baidu.com/node/108', 'anchor_text': u'\n   \t\n\t  \u4e0a\u6d77-\u751f\u6d3b\u670d\u52a1-\u97e9\u5320\u5a5a\u7eb1\u6444\u5f71\n\t  \u97e9\u5320\u5a5a\u7eb1\u6444\u5f71\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1417 urls left in queue]
crawl 111[0.15 seconds used]: {'url': 'http://e.baidu.com/node/111', 'anchor_text': u'\n   \t\n\t  \u6df1\u5733-\u751f\u6d3b\u670d\u52a1-\u81f3\u5c0a\u79df\u8f66\n\t  \u81f3\u5c0a\u79df\u8f66\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1416 urls left in queue]
crawl 112[0.16 seconds used]: {'url': 'http://e.baidu.com/node/117', 'anchor_text': u'\n   \t\n\t  \u897f\u5b89-\u751f\u6d3b\u670d\u52a1-\u7c73\u5170\u5a5a\u7eb1\u6444\u5f71\n\t  \u7c73\u5170\u5a5a\u7eb1\u6444\u5f71\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1416 urls left in queue]
crawl 113[0.15 seconds used]: {'url': 'http://e.baidu.com/node/81', 'anchor_text': u'\u5317\u4eac-\u751f\u6d3b\u670d\u52a1-\u65e0\u5fe7\u4fdd\u59c6\u7f51', 'value': 0},  [1415 urls left in queue]
crawl 114[0.15 seconds used]: {'url': 'http://e.baidu.com/node/125', 'anchor_text': u'\n   \t\n\t  \u6cf0\u9f0e\u73af\u4fdd\n\t  \u6cf0\u9f0e\u73af\u4fdd\u79d1\u6280\u6709\u9650\u516c\u53f8\n\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n  \u7f51\u76df\u63a8\u5e7f\n', 'value': 0},  [1416 urls left in queue]
crawl 115[4.93 seconds used]: {'url': 'http://www.adobe.com/go/getflashplayer', 'anchor_text': u'\u4e3b\u4eba\uff0c\u6ca1\u6709\u5b89\u88c5flash player\u4e0d\u80fd\u64ad\u653e\u554a~~\u8bf7\u60a8\u7acb\u5373\u5b89\u88c5', 'value': 0},  [1425 urls left in queue]
crawl 116[1.82 seconds used]: {'url': 'http://www.adobe.com/privacy/cookies.html', 'anchor_text': 'Cookies', 'value': 0},  [1505 urls left in queue]
crawl 117[2.07 seconds used]: {'url': 'http://www.adobe.com/company.html', 'anchor_text': 'Company', 'value': 0},  [1595 urls left in queue]
crawl 118[1.36 seconds used]: {'url': 'http://www.adobe.com/kr/', 'anchor_text': u'\ud55c\uad6d', 'value': 0},  [1679 urls left in queue]
crawl 119[1.63 seconds used]: {'url': 'http://www.adobe.com/kr/privacy/cookies.html', 'anchor_text': u'\xec\xbf\xa0\xed\x82\xa4', 'value': 0},  [1688 urls left in queue]
crawl 120[2.33 seconds used]: {'url': 'http://www.adobe.com/go/gffooter_terms_of_use_kr', 'anchor_text': u'\uc0ac\uc6a9 \uc57d\uad00', 'value': 0},  [1708 urls left in queue]
crawl 121[1.00 seconds used]: {'url': 'http://www.adobe.com/legal/dmca.html', 'anchor_text': 'http://www.adobe.com/legal/dmca.html', 'value': 0},  [1722 urls left in queue]
crawl 122[1.35 seconds used]: {'url': 'https://helpx.adobe.com/contact.html', 'anchor_text': u'Customer support \u203a', 'value': 0},  [1721 urls left in queue]
crawl 123[1.50 seconds used]: {'url': 'https://www.adobe.com/legal/lawenforcementrequests.html', 'anchor_text': u'Law enforcement requests \u203a', 'value': 0},  [1797 urls left in queue]
crawl 124[1.06 seconds used]: {'url': 'https://www.adobe.com/cis/', 'anchor_text': 'Includes Armenia, Azerbaijan, Belarus, Georgia, Kazakhstan, Kyrgyzstan, Moldova, Tajikistan, Turkmenistan, Ukraine, Uzbekistan', 'value': 0},  [1814 urls left in queue]
crawl 125[1.26 seconds used]: {'url': 'http://www.adobe.com/ru/privacy/cookies.html', 'anchor_text': 'Cookies', 'value': 0},  [1875 urls left in queue]
crawl 126[1.71 seconds used]: {'url': 'http://www.adobe.com/ru/company.html', 'anchor_text': u'\u041a\u043e\u043c\u043f\u0430\u043d\u0438\u044f', 'value': 0},  [1896 urls left in queue]
crawl 127[1.76 seconds used]: {'url': 'http://www.adobe.com/ru/legal/general-terms.html', 'anchor_text': u'\xd0\xa3\xd1\x81\xd0\xbb\xd0\xbe\xd0\xb2\xd0\xb8\xd1\x8f \xd0\xb8\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd1\x8c\xd0\xb7\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbd\xd0\xb8\xd1\x8f', 'value': 0},  [1915 urls left in queue]
crawl 128[3.02 seconds used]: {'url': 'http://www.adobe.com/go/edu_purchasing_ru', 'anchor_text': 'http://www.adobe.com/go/edu_purchasing_ru', 'value': 0},  [1924 urls left in queue]
crawl 129[2.15 seconds used]: {'url': 'http://helpx.adobe.com/x-productkb/policy-pricing/education-faq.html', 'anchor_text': u'\u0427\u0430\u0441\u0442\u043e \u0437\u0430\u0434\u0430\u0432\u0430\u0435\u043c\u044b\u0435 \u0432\u043e\u043f\u0440\u043e\u0441\u044b \u043f\u043e \u043f\u0440\u043e\u0433\u0440\u0430\u043c\u043c\u0435 \u043b\u0438\u0446\u0435\u043d\u0437\u0438\u0440\u043e\u0432\u0430\u043d\u0438\u044f \u0434\u043b\u044f \u0443\u0447\u0430\u0449\u0438\u0445\u0441\u044f \u0438 \u043f\u0440\u0435\u043f\u043e\u0434\u0430\u0432\u0430\u0442\u0435\u043b\u0435\u0439', 'value': 0},  [1959 urls left in queue]
crawl 130[2.99 seconds used]: {'url': 'https://www.adobe.com/go/gffooter_online_privacy_policy', 'anchor_text': 'Online Privacy Policy', 'value': 0},  [1967 urls left in queue]
crawl 131[3.85 seconds used]: {'url': 'https://www.adobe.com/go/gffooter_terms_of_use', 'anchor_text': 'Terms of Use', 'value': 0},  [1974 urls left in queue]
crawl 132[2.62 seconds used]: {'url': 'https://www.adobe.com/legal/dmca.html', 'anchor_text': 'http://www.adobe.com/legal/dmca.html.', 'value': 0},  [1973 urls left in queue]
crawl 133[4.02 seconds used]: {'url': 'http://www.adobe.com/go/edu_purchasing', 'anchor_text': 'http://www.adobe.com/go/edu_purchasing', 'value': 0},  [1981 urls left in queue]
crawl 134[2.49 seconds used]: {'url': 'http://www.adobe.com/education/administrators/how-to-buy-eligibility.html', 'anchor_text': 'administrator', 'value': 0},  [1984 urls left in queue]
crawl 135[2.97 seconds used]: {'url': 'http://www.adobe.com/education/administrators/deploying-adobe-apps.html', 'anchor_text': u'Get help now \u203a', 'value': 0},  [1993 urls left in queue]
crawl 136[4.57 seconds used]: {'url': 'http://edex.adobe.com/enablement', 'anchor_text': u'See the guide \u203a', 'value': 0},  [2169 urls left in queue]
crawl 137[1.37 seconds used]: {'url': 'http://www.adobe.com/privacy.edu.html', 'anchor_text': 'Online Privacy Policy', 'value': 0},  [2174 urls left in queue]
crawl 138[1.31 seconds used]: {'url': 'http://www.adobe.com/privacy/policy.html#market', 'anchor_text': 'Will Adobe market to me?', 'value': 0},  [2186 urls left in queue]
crawl 139[2.35 seconds used]: {'url': 'http://export.gov/safeharbor', 'anchor_text': 'EU Safe Harbor Framework', 'value': 0},  [2236 urls left in queue]
crawl 140[2.34 seconds used]: {'url': 'http://trade.gov/endorse.asp', 'anchor_text': 'disclaimer statement', 'value': 0},  [2362 urls left in queue]
crawl 141[4.38 seconds used]: {'url': 'http://get.adobe.com/reader', 'anchor_text': 'PDF reader', 'value': 0},  [2366 urls left in queue]
crawl 142[1.20 seconds used]: {'url': 'http://get.adobe.com/reader/otherversions/', 'anchor_text': 'Do you have a different language or operating system?', 'value': 0},  [2364 urls left in queue]
crawl 143[2.81 seconds used]: {'url': 'http://helpx.adobe.com/acrobat/kb/quick-fix-install-download-reader.html', 'anchor_text': 'Click here', 'value': 0},  [2440 urls left in queue]
crawl 144[3.53 seconds used]: {'url': 'http://helpx.adobe.com/kr/', 'anchor_text': u'\ud55c\uad6d', 'value': 0},  [2455 urls left in queue]
crawl 145[4.30 seconds used]: {'url': 'http://helpx.adobe.com/mt/', 'anchor_text': 'Malta - English', 'value': 0},  [2531 urls left in queue]
crawl 146[1.50 seconds used]: {'url': 'http://www.adobe.com/mt/privacy/cookies.html', 'anchor_text': 'Cookies', 'value': 0},  [2541 urls left in queue]
crawl 147[2.23 seconds used]: {'url': 'http://www.adobe.com/go/gffooter_terms_of_use_mt', 'anchor_text': 'Terms of Use', 'value': 0},  [2542 urls left in queue]
crawl 148[1.24 seconds used]: {'url': 'http://www.adobe.com/mt/about-adobe.html', 'anchor_text': 'Company', 'value': 0},  [2556 urls left in queue]
crawl 149[1.50 seconds used]: {'url': 'http://www.adobe.com/mt/antipiracy.html', 'anchor_text': u'Anti-piracy \u203a', 'value': 0},  [2572 urls left in queue]
crawl 150[1.73 seconds used]: {'url': 'http://www.linkedin.com/', 'anchor_text': 'Share on LinkedIn', 'value': 0},  [2631 urls left in queue]
crawl 151[3.30 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/34593', 'anchor_text': 'Community Guidelines', 'value': 0},  [2771 urls left in queue]
crawl 152[2.23 seconds used]: {'url': 'https://linkedin.com/start/join?trk=uas-consumer-login-internal-join-lnk', 'anchor_text': 'Join now', 'value': 0},  [2775 urls left in queue]
crawl 153[0.89 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2775 urls left in queue]
crawl 154[0.88 seconds used]: {'url': 'https://www.linkedin.com/legal/cookie-policy?trk=uno-reg-join-cookie-policy', 'anchor_text': 'Cookie Policy', 'value': 0},  [2802 urls left in queue]
crawl 155[0.74 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Fgoback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2792 urls left in queue]
crawl 156[1.26 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Daccount%26modal%3Dnsettings-enhanced-advertising%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2776 urls left in queue]
crawl 157[0.83 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Dgroups%26modal%3Dnsettings-offsite-privacy-management%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2774 urls left in queue]
crawl 158[1.28 seconds used]: {'url': 'https://www.linkedin.com/legal/privacy-policy?trk=uno-reg-join-privacy-policy', 'anchor_text': 'Privacy Policy', 'value': 0},  [2808 urls left in queue]
crawl 159[2.66 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/34593?trk=microsites-legal-privacy_policy', 'anchor_text': 'Community Guidelines', 'value': 0},  [2807 urls left in queue]
crawl 160[2.71 seconds used]: {'url': 'https://linkedin.com/help/linkedin?trk=microsites-legal-privacy_policy', 'anchor_text': 'Help Center', 'value': 0},  [2806 urls left in queue]
crawl 161[0.67 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsecurity-v2%3Fgoback%3D&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2805 urls left in queue]
crawl 162[0.78 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Demail%26modal%3Dnsettings-research-invitations%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2793 urls left in queue]
crawl 163[0.68 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Dgroups%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2792 urls left in queue]
crawl 164[0.81 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Dgroups%26modal%3Dnsettings-data-sharing%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2791 urls left in queue]
crawl 165[2.84 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/77?lang=en', 'anchor_text': 'Help Center', 'value': 0},  [2790 urls left in queue]
crawl 166[0.77 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fprofile%2Fpublic-profile-settings&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2788 urls left in queue]
crawl 167[2.67 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/53692?lang=en', 'anchor_text': 'SlideShare', 'value': 0},  [2786 urls left in queue]
crawl 168[0.67 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsettings%2Fsummary%3Ftab%3Demail%26goback%3D%252Esun_*1_*1_*1_*1_*1&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2785 urls left in queue]
crawl 169[0.69 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=http%3A%2F%2Fwww%2Elinkedin%2Ecom%2FpostLogin%3Fsession_rikey%3D34GM4XuNTR3kayBWqAS37WRiYawyah_O0n9rNL7iCo9_0DKGavN9g-OsxnNvBUZGuanogPCW6iq9DcBQiqc6BmWy6nVv2D8cuoM%26l%3Dhttps%253A%252F%252Fwww%252Elinkedin%252Ecom%252Fsecure%252Fsettings%253Fclosemyaccountstart%253D%26id%3D0%26b%3D43df62f4-b2c7-46f9-8bda-d6f231cf02a5%26h%3Dk0V0%26m%3DGET&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2774 urls left in queue]
crawl 170[3.04 seconds used]: {'url': 'https://linkedin.com/help/linkedin?lang=en', 'anchor_text': 'Visit our Safety Center', 'value': 0},  [2772 urls left in queue]
crawl 171[0.95 seconds used]: {'url': 'https://www.linkedin.com/legal/user-agreement?trk=uno-reg-join-user-agreement', 'anchor_text': 'User Agreement', 'value': 0},  [2785 urls left in queue]
crawl 172[2.88 seconds used]: {'url': 'https://linkedin.com/help/linkedin?trk=microsites-legal-user_agreement', 'anchor_text': 'Help Center', 'value': 0},  [2783 urls left in queue]
crawl 173[2.54 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/67?lang=en', 'anchor_text': 'control and limit', 'value': 0},  [2776 urls left in queue]
crawl 174[2.76 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/34987?lang=en', 'anchor_text': 'contact information', 'value': 0},  [2775 urls left in queue]
crawl 175[0.77 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=%2Fpayments%2Fpurchasehistory%3Ftrk%3D&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2773 urls left in queue]
crawl 176[2.92 seconds used]: {'url': 'https://linkedin.com/help/linkedin/answer/50?lang=en', 'anchor_text': 'cancel or change', 'value': 0},  [2771 urls left in queue]
crawl 177[1.86 seconds used]: {'url': 'https://linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fhelp%2Flinkedin%2Fforum%2Fask&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [2770 urls left in queue]
crawl 178[2.56 seconds used]: {'url': 'https://linkedin.com/start/join?trk=hb_join', 'anchor_text': '\nJoin Today\n', 'value': 0},  [2769 urls left in queue]
crawl 179[1.32 seconds used]: {'url': 'https://www.linkedin.com/', 'anchor_text': 'Go to LinkedIn', 'value': 0},  [2795 urls left in queue]
crawl 180[1.15 seconds used]: {'url': 'https://www.linkedin.com/in/ozdemirozcelik', 'anchor_text': u'\xd6zdemir \xd6z\xe7elik', 'value': 0},  [3072 urls left in queue]
crawl 181[1.23 seconds used]: {'url': 'https://www.linkedin.com/in/murad-baltaci-69496747?trk=pub-pbmap', 'anchor_text': 'Murad BALTACI', 'value': 0},  [3093 urls left in queue]
crawl 182[1.13 seconds used]: {'url': 'https://www.linkedin.com/in/uilhan?trk=pub-pbmap', 'anchor_text': 'Ulvi F. Ilhan', 'value': 0},  [3097 urls left in queue]
crawl 183[1.42 seconds used]: {'url': 'https://www.linkedin.com/in/onurduran?trk=pub-pbmap', 'anchor_text': 'Onur Duran', 'value': 0},  [3184 urls left in queue]
crawl 184[1.17 seconds used]: {'url': 'https://www.linkedin.com/in/gokhan-tezel-45242825?trk=pub-pbmap', 'anchor_text': 'Gokhan TEZEL', 'value': 0},  [3202 urls left in queue]
crawl 185[1.29 seconds used]: {'url': 'https://www.linkedin.com/in/mehmet-ozkan-b04863?trk=pub-pbmap', 'anchor_text': 'Mehmet Ozkan', 'value': 0},  [3210 urls left in queue]
crawl 186[1.29 seconds used]: {'url': 'https://www.linkedin.com/in/birolerguven?trk=pub-pbmap', 'anchor_text': u'Birol Erg\xfcven', 'value': 0},  [3262 urls left in queue]
crawl 187[1.26 seconds used]: {'url': 'https://www.linkedin.com/in/murat-kirazl%C4%B1-779b5222?trk=pub-pbmap', 'anchor_text': u'Murat Kirazl\u0131', 'value': 0},  [3276 urls left in queue]
crawl 188[0.75 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fgroups%2F3806850&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [3275 urls left in queue]
crawl 189[0.70 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fgroups%2F4723932&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [3274 urls left in queue]
crawl 190[0.96 seconds used]: {'url': 'https://www.linkedin.com/uas/request-password-reset?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fgroups%2F1548977&trk=signin_fpwd', 'anchor_text': '?', 'value': 0},  [3273 urls left in queue]
